Event ID,Station-Unit,Start Date,Cause Code Name,IsRepeat,TimeBetweenFailure
172701,Allen Steam-5,11/16/08 23:30,Waterwall (Furnace wall) A,FALSE,
174613,Marshall Steam-1,12/5/08 12:45,First reheater A,FALSE,
174622,Marshall Steam-2,12/7/08 23:33,Platen superheater,FALSE,
174654,Marshall Steam-3,12/14/08 19:27,Waterwall (Furnace wall) A,TRUE,5250.183333
174693,Marshall Steam-4,12/16/08 1:28,Waterwall (Furnace wall) A,TRUE,588.75
174932,Marshall Steam-2,12/23/08 12:21,Waterwall (Furnace wall) A,FALSE,
177259,Gibson Steam-4,1/6/09 14:39,Second superheater B,FALSE,
177262,Gibson Steam-4,1/6/09 16:50,Second superheater B,TRUE,2.183333333
177267,Gibson Steam-4,1/8/09 4:04,Second superheater B,TRUE,35.23333333
177269,Gibson Steam-4,1/8/09 13:52,Second superheater B,TRUE,9.8
177271,Gibson Steam-4,1/10/09 0:21,Second superheater B,TRUE,34.48333333
177276,Gibson Steam-4,1/12/09 11:46,Second superheater B,TRUE,59.41666667
177346,Belews Creek Steam-2,1/18/09 22:41,Economizer B,TRUE,3076.233333
177370,Gibson Steam-3,1/15/09 10:20,First reheater A,FALSE,
177379,Gibson Steam-4,1/16/09 17:15,Waterwall (Furnace wall) A,FALSE,
177704,Belews Creek Steam-2,1/30/09 12:47,Economizer B,TRUE,278.1
178461,Marshall Steam-2,2/10/09 16:24,Waterwall (Furnace wall) A,TRUE,1180.05
178486,Gibson Steam-1,2/5/09 22:01,Waterwall (Furnace wall) A,TRUE,3115.966667
178549,Marshall Steam-1,2/18/09 19:39,First superheater B,FALSE,
178595,Belews Creek Steam-2,2/20/09 14:28,Economizer B,TRUE,505.6833333
179242,Marshall Steam-1,3/8/09 21:13,First superheater B,TRUE,433.5666667
179842,Gibson Steam-1,3/15/09 19:15,Convection pass wall (water tubes only),FALSE,
179849,James E. Rogers Energy Complex-5,3/20/09 11:33,Waterwall (Furnace wall) A,FALSE,
179857,Gibson Steam-3,3/19/09 1:33,Waterwall (Furnace wall) A,FALSE,
179858,Gibson Steam-3,3/19/09 2:44,Waterwall (Furnace wall) A,TRUE,1.183333333
179916,Gibson Steam-1,3/24/09 15:15,Waterwall (Furnace wall) A,FALSE,
179921,James E. Rogers Energy Complex-5,3/27/09 10:48,Economizer B,FALSE,
179988,Marshall Steam-4,3/24/09 20:05,Waterwall (Furnace wall) A,TRUE,2370.616667
180933,Belews Creek Steam-2,4/7/09 16:24,Economizer B,TRUE,1105.933333
180945,Gibson Steam-1,4/7/09 1:40,Waterwall (Furnace wall) A,TRUE,322.4166667
180947,Belews Creek Steam-2,4/10/09 3:23,Economizer B,TRUE,58.98333333
181171,Allen Steam-5,4/21/09 5:48,Economizer B,FALSE,
182115,Allen Steam-4,5/9/09 11:29,First superheater B,FALSE,
182132,Marshall Steam-1,5/7/09 21:19,Waterwall (Furnace wall) A,FALSE,
182347,James E. Rogers Energy Complex-5,5/11/09 13:45,Waterwall (Furnace wall) A,FALSE,
182400,Belews Creek Steam-2,5/16/09 16:37,Economizer B,TRUE,877.2333333
182480,Gibson Steam-2,5/21/09 22:47,Waterwall (Furnace wall) A,TRUE,5268.183333
182514,Gibson Steam-5,5/19/09 22:45,Second superheater B,FALSE,
182729,Allen Steam-4,6/2/09 14:18,Waterwall (Furnace wall) A,FALSE,
183852,Belews Creek Steam-2,6/10/09 13:15,Economizer B,TRUE,596.6333333
183891,Gibson Steam-5,6/1/09 17:43,First reheater A,FALSE,
183893,James E. Rogers Energy Complex-5,6/9/09 22:52,Waterwall (Furnace wall) A,TRUE,705.1166667
189681,Marshall Steam-3,6/15/09 23:38,Waterwall (Furnace wall) A,TRUE,4396.183333
189754,Belews Creek Steam-2,6/17/09 18:51,Economizer B,TRUE,173.6
189909,Belews Creek Steam-1,6/25/09 5:18,Waterwall (Furnace wall) A,FALSE,
189942,Marshall Steam-1,6/30/09 23:33,Waterwall (Furnace wall) A,TRUE,1298.233333
190242,Marshall Steam-2,7/1/09 22:41,Waterwall (Furnace wall) A,TRUE,3390.283333
191379,Gibson Steam-4,7/16/09 1:17,First reheater A,FALSE,
191399,Marshall Steam-1,7/16/09 11:28,Waterwall (Furnace wall) A,TRUE,371.9166667
191402,Marshall Steam-2,7/17/09 1:34,Waterwall (Furnace wall) A,TRUE,362.8833333
191423,Marshall Steam-2,7/23/09 1:35,Waterwall (Furnace wall) A,TRUE,144.0166667
191457,W.S. Lee Steam-3,7/25/09 21:53,Waterwall (Furnace wall) A,TRUE,5931.283333
192278,W.S. Lee Steam-3,8/8/09 19:45,Waterwall (Furnace wall) A,TRUE,333.8666667
192280,Marshall Steam-1,8/8/09 10:01,Waterwall (Furnace wall) A,TRUE,550.55
192283,Marshall Steam-2,8/9/09 16:32,Waterwall (Furnace wall) A,TRUE,422.95
193222,Marshall Steam-2,8/15/09 18:43,Waterwall (Furnace wall) A,TRUE,146.1833333
193224,Marshall Steam-1,8/17/09 21:50,Waterwall (Furnace wall) A,TRUE,227.8166667
193225,Marshall Steam-2,8/17/09 17:40,Waterwall (Furnace wall) A,TRUE,46.95
193256,W.S. Lee Steam-3,8/17/09 20:55,Waterwall (Furnace wall) A,TRUE,217.1666667
193286,W.S. Lee Steam-3,8/19/09 3:19,Waterwall (Furnace wall) A,TRUE,30.4
193295,Belews Creek Steam-2,8/19/09 22:55,Economizer B,TRUE,13.5
198385,Belews Creek Steam-2,8/19/09 9:25,Economizer B,TRUE,1502.566667
200119,Marshall Steam-4,9/10/09 10:50,Waterwall (Furnace wall) A,TRUE,4070.75
200134,Gibson Steam-1,9/11/09 8:45,Waterwall (Furnace wall) A,TRUE,3775.083333
200140,Gibson Steam-4,9/12/09 9:59,External superheater link tubing,FALSE,
200149,Belews Creek Steam-2,9/9/09 1:04,Economizer B,TRUE,482.15
200272,Gibson Steam-4,9/22/09 11:30,Waterwall (Furnace wall) A,FALSE,
200294,Cayuga Steam-2,9/15/09 1:30,Other boiler tube leaks,FALSE,
200503,Marshall Steam-2,10/7/09 10:22,Waterwall (Furnace wall) A,TRUE,1216.7
202172,Belews Creek Steam-2,10/18/09 14:00,Economizer B,TRUE,948.9333333
202227,Belews Creek Steam-2,10/26/09 1:34,Economizer B,TRUE,179.5666667
202250,Marshall Steam-4,10/28/09 0:04,First superheater B,FALSE,
202360,Gibson Steam-2,10/27/09 19:45,Waterwall (Furnace wall) A,TRUE,3812.966667
204772,Marshall Steam-1,12/2/09 19:37,Waterwall (Furnace wall) A,TRUE,2565.783333
204799,Allen Steam-4,12/5/09 10:28,Waterwall (Furnace wall) A,TRUE,4460.166667
