,Customer.name,Location.name,Location.city,Unit.name,tubes_inspected,bins_collected,critical_tubes,critical_bins,tube_feet_inspected
168,Vantaan - Jarvenpaan CHP,Vantaan - Jarvenpaan CHP,JÃ¤rvenpÃ¤Ã¤,BFB Boiler,343,13882,0,0,3470.5
169,Rio Tinto,Yarwun,Gladstone Central,PC boiler,260,13689,0,0,3422.25
170,Tucson Electric Power,TEP - Sundt Station,Tucson,Unit 4,332,12339,0,0,3084.75
171,Duke Energy,Cliffside,Mooresboro,Unit 6,365,10484,0,0,2621.0
172,Consolidated Edison Company of New York (Corporate),CONED - 74th Street,New York,Unit 122,406,9402,0,0,2350.5
173,Covanta,Haverhill,Haverhill,Boiler 1,222,7883,0,0,1970.75
174,Great River Energy,Spiritwood,Spiritwood,Economizer,777,7517,0,0,1879.25
175,Great River Energy,Spiritwood,Spiritwood,Econo SB H (120-MW-308),424,4911,0,0,1227.75
176,Uniper,Maasvlakte,Maasvlakte Rotterdam,Coal Boiler,220,4743,0,0,1185.75
177,Uniper,Maasvlakte,Maasvlakte Rotterdam,Gas Boiler Demo,170,4417,0,0,1104.25
178,Archer Daniels Midland (ADM),Cedar Rapids,Cedar Rapids,Boiler 1,77,4088,0,0,1022.0
179,Rio Tinto,Kennecott Utah Copper,Jordan,FS Waste Heat Boiler,108,3302,0,0,825.5
180,Southern Minnesota Beet Sugar Cooperative,Renville,Renville,Boiler 20,8,2919,0,0,729.75
181,Covanta,Tulsa,Tulsa,Unit 1,130,2316,0,0,579.0
182,Great River Energy,Spiritwood,Spiritwood,Econo SB G (120-MW-307),209,2140,0,0,535.0
183,Koch Industries (Corporate),Georgia-Pacific - Gurdon Softwood Plywood Mill,Gurdon,Unit 2,104,2040,0,0,510.0
184,Sumitomo - Foster Wheeler,SHI FW ENERGIA FAKOP,41-200 Sosnowiec,Demo Panel,22,1698,0,0,424.5
185,Duke Energy,Cayuga,Cayuga,Waterwalls,32,1549,0,0,387.25
186,NRG,W.A Parish Station,Thompsons,Sample Boiler Tubes,16,656,0,0,164.0
187,Great River Energy,Spiritwood,Spiritwood,Econo SB A (120-MW-251),52,560,0,0,140.0
188,Talen Energy,Colstrip,Colstrip,Boiler 1,8,162,0,0,40.5
189,Los Angeles Department of Water and Power,LADWP - Scattergood,El Segundo,Unit 1 Demo,8,63,0,0,15.75
